22:01:00.457 [ApplicationImpl pooled thread 36] INFO  com.browserstack.utils.Helpers - null
22:01:00.457 [ApplicationImpl pooled thread 36] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:16:34.218 [ApplicationImpl pooled thread 24] INFO  c.b.l.BrowserStackRunExtension - testng
17:16:34.220 [ApplicationImpl pooled thread 24] INFO  com.browserstack.utils.Helpers - null
17:16:34.222 [ApplicationImpl pooled thread 24] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:31:05.772 [ApplicationImpl pooled thread 28] INFO  c.b.l.BrowserStackRunExtension - testng
17:31:05.772 [ApplicationImpl pooled thread 28] INFO  com.browserstack.utils.Helpers - null
17:31:05.774 [ApplicationImpl pooled thread 28] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
18:06:06.706 [ApplicationImpl pooled thread 33] INFO  c.b.l.BrowserStackRunExtension - testng
18:06:06.706 [ApplicationImpl pooled thread 33] INFO  com.browserstack.utils.Helpers - null
18:06:06.706 [ApplicationImpl pooled thread 33] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
10:28:32.386 [ApplicationImpl pooled thread 10] INFO  c.b.l.BrowserStackRunExtension - maven
10:28:32.604 [ApplicationImpl pooled thread 10] INFO  com.browserstack.utils.Helpers - null
12:46:57.213 [ApplicationImpl pooled thread 7] INFO  c.b.l.BrowserStackRunExtension - testng
12:46:57.213 [ApplicationImpl pooled thread 7] INFO  com.browserstack.utils.Helpers - null
12:46:57.213 [ApplicationImpl pooled thread 7] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:51:12.543 [ApplicationImpl pooled thread 7] INFO  c.b.l.BrowserStackRunExtension - testng
12:51:12.543 [ApplicationImpl pooled thread 7] INFO  com.browserstack.utils.Helpers - null
12:51:12.543 [ApplicationImpl pooled thread 7] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:54:17.930 [ApplicationImpl pooled thread 19] INFO  c.b.l.BrowserStackRunExtension - testng
12:54:17.930 [ApplicationImpl pooled thread 19] INFO  com.browserstack.utils.Helpers - null
12:54:17.930 [ApplicationImpl pooled thread 19] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:55:04.033 [ApplicationImpl pooled thread 18] INFO  c.b.l.BrowserStackRunExtension - testng
